adult;backdrop_path;genre_ids;id;original_language;original_title;overview;popularity;poster_path;release_date;title;video;vote_average;vote_count
False;/6cXwjZTHRSFTgEvNdnKUw93Pnv6.jpg;[16, 10751];403510;en;Tom & Jerry: Back to Oz;"With the Wicked Witch of the West now vanquished from Oz, Tom and Jerry along with Dorothy are back in Kansas! But not for long as an all-new villain has surfaced from beneath the magical land, the Gnome King! Having captured the Good Witch, the Gnome King and his army are wreaking havoc throughout Oz and need but one item to take control of The Emerald City, Dorothy's ruby slippers! It's up to our favorite cat and mouse duo to team up, go Back to Oz and save the land they love. Take to the skies, courtesy of the Wizard himself, with Dorothy, Toto, the Scarecrow, the Tin Man and the Lion as they make their magical journey. The laughs and adventure will roar as they encounter all-new frights and mischievous creatures down the Yellow Brick Road, 'cause ""we're not in Kansas anymore!""";4.301;/f6QLwdefXW3TFv5aJumUpKXxRF9.jpg;2016-06-21;Tom & Jerry: Back to Oz;False;6.0;20
False;/jwIlEwoFlleoxToBVcgcQwY1qgv.jpg;[27];404961;en;Ghosthunters;When one of their own loses his wife and daughter at the hands of a serial killer, a team of ghost hunters is determined to capture the spirits of the loved ones so their spirits can finally rest in peace. But as the team goes deeper into the house, the ghosts become more hostile, and the group discovers the true secrets of the house and its murderer.;3.063;/rSfv9HaRD6iPoN8F8gpHPLivE9b.jpg;2016-07-05;Ghosthunters;False;4.4;27
False;/5e4m9EfDJfl4bUIFFboj4YMGcwL.jpg;[35, 10749];377492;en;Dirty 30;Lifelong friends Kate (Mamrie Hart), Evie (Grace Helbig) and Charlie (Hannah Hart) are in a rut. Kate spends her days at a middling job and her nights alone or on failed dates. Evie is married with the in-laws from hell, wandering from one charitable cause to the next. Charlie has the girl of her dreams but just can’t seem to pull her business (or her act) together. On the eve of Kate’s 30th birthday, she agrees to let Evie and Charlie throw her a party. But what’s supposed to be a simple celebration becomes a wild who’s who of past and present, and things quickly spiral out of control.;4.181;/rRDdvaJsiZimm1enx2ApkCxaee4.jpg;2016-09-23;Dirty 30;False;6.2;44
False;/z3LFcwKcwxIOC70RDcoJ9PodAxc.jpg;[18];428601;en;Menorca;A hedonistic soccer mom embarks on a strange journey of self-discovery, seeking to reconnect with her estranged son by returning his pet rock back to the island of Menorca, Spain.;2.817;/4CF3iYQUVPCvNreCTa2zsVWJw1R.jpg;2016-12-09;Menorca;False;4.5;6
False;/xUHCrytslLNc3XytQKMCjJudV4g.jpg;[35];394499;pt;Porta dos Fundos: Contrato Vitalício;Two friends, filmmaker Miguel and actor Rodrigo, win the grand prize of the jury at the Cannes Film Festival. After drinking too much, Rodrigo signs a lifetime contract to star in Miguel's next film. Miguel mysteriously disappears and comes back ten years later proposing to make a delirious film retelling his adventure in the years he'd been gone. Rodrigo is already famous and fears risking his career, but he has no alternative but to comply.;2.06;/gEVuelO8NL1Eup2VjSnHUVWnKYh.jpg;2016-06-30;Porta dos Fundos: Contrato Vitalício;False;3.7;45
False;/4GOTpBwdPIEBQUxoTM3zdwlaEQu.jpg;[35];417026;en;Russell Peters: Almost Famous;The comic comes home to Toronto to sound off on cultural quirks, furniture building and bathroom visits, reveling in all things ridiculously human.;3.728;/djCYbBhclsEj8nIJ79qXxd5nQmx.jpg;2016-10-07;Russell Peters: Almost Famous;False;6.9;24
False;/wQxSUIG32MqIcVrG8mJ69MUxVwA.jpg;[16, 10751];378858;en;LEGO Friends: Girlz 4 Life;"LEGO Friends' First Movie Ever! The girls' friendships are tested when mega-popstar Livi comes to Heartlake City. When our friends' hit song ""Girlz"" is stolen by Livi's manager, it's time for a cunning plan. As the girls try to tell Livi the truth about her latest hit single, they all learn that fame isn't everything and sometimes friendship is the most precious thing in the world. Join Olivia, Stephanie, Emma, Mia and Andrea as they learn one of life's most important lessons while having fun along the way.";3.79;/gIx5lXb4pjEOCFa8EqZEjtJT9xT.jpg;2016-02-02;LEGO Friends: Girlz 4 Life;False;7.6;13
False;/xDzTADwNiCGixMNk1BzMHSaUOFk.jpg;[18, 10752];407518;en;Chosen;An unassuming young lawyer leads a fight against the Nazis near the end of the Second World War.;3.039;/rxRz6Dk2X6Iqysys9CL9cve3llI.jpg;2016-08-02;Chosen;False;4.8;16
False;/148iBnXTfFZb2awTvXXR6cwDwCB.jpg;[18];408435;sv;Sameblod;Elle Marja, 14, is a reindeer-breeding Sami girl. Exposed to the racism of the 1930s and phrenological examinations at her boarding school, she starts dreaming of another life. To achieve this other life she has to become someone else and break all ties with her family and culture.;3.688;/vSQWzjzmZONLGDPnzWa1e7xRfr8.jpg;2017-01-20;Sami Blood;False;7.4;52
False;/iSeQodrhdYvqPWy5TvOTjNnn8Vk.jpg;[18];324284;en;Lamb;Lamb, based on the novel by Bonnie Nadzam, traces the self-discovery of David Lamb in the weeks following the disintegration of his marriage and the death of his father. Hoping to regain some faith in his own goodness, he turns his attention to Tommie, an awkward and unpopular eleven-year-old girl. Lamb is convinced that he can help her avoid a destiny of apathy and emptiness, and takes Tommie for a road trip from Chicago to the Rockies, planning to initiate her into the beauty of the mountain wilderness. The journey shakes them in ways neither expects.;3.575;/908k7elpDQE9C0vOUu2cU1HqplT.jpg;2016-01-08;Lamb;False;6.6;26
False;/vXNVLo798reTUy6lz9ZEs0BCFaQ.jpg;[35];421854;en;Joe Rogan: Triggered;Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins.;3.242;/11KqzWzyeeobFpAag78S1eaF3hc.jpg;2016-10-21;Joe Rogan: Triggered;False;6.8;32
