adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;0;99.0;Documentary;519398;en;The Jazz Ambassadors;1.874;0;60;Released;0.0;0
False;2500000;18.0;Drama;523926;en;Papa;2.386;0;;Released;0.0;0
False;0;27.0;Horror;559994;en;Watch If You Dare;2.818;0;;Released;4.2;6
False;0;12.0;Adventure;560034;en;Pocketman and Cargoboy;2.401;0;87;Released;7.8;4
False;0;35.0;Comedy;560034;en;Pocketman and Cargoboy;2.401;0;87;Released;7.8;4
False;0;878.0;Science Fiction;560034;en;Pocketman and Cargoboy;2.401;0;87;Released;7.8;4
False;0;18.0;Drama;594603;en;The Price for Silence;1.682;0;107;Released;7.5;2
False;0;35.0;Comedy;541749;en;Shawn Pelofsky: Stretch it Out!;2.134;0;60;Released;0.0;0
False;0;28.0;Action;502308;en;Jurassic Predator;2.006;0;;Released;4.3;3
False;0;12.0;Adventure;502308;en;Jurassic Predator;2.006;0;;Released;4.3;3
False;0;35.0;Comedy;502308;en;Jurassic Predator;2.006;0;;Released;4.3;3
False;0;35.0;Comedy;514782;en;Toy Gun;1.99;0;90;Released;5.8;4
False;0;28.0;Action;514782;en;Toy Gun;1.99;0;90;Released;5.8;4
False;0;80.0;Crime;514782;en;Toy Gun;1.99;0;90;Released;5.8;4
False;0;10749.0;Romance;551824;en;Sex Weather;2.526;0;90;Released;5.4;5
False;0;18.0;Drama;551824;en;Sex Weather;2.526;0;90;Released;5.4;5
False;0;35.0;Comedy;551824;en;Sex Weather;2.526;0;90;Released;5.4;5
False;1000000;28.0;Action;503314;ja;ドラゴンボール超スーパー ブロリー;2.926;114102821;101;Released;7.5;881
False;1000000;16.0;Animation;503314;ja;ドラゴンボール超スーパー ブロリー;2.926;114102821;101;Released;7.5;881
False;1000000;14.0;Fantasy;503314;ja;ドラゴンボール超スーパー ブロリー;2.926;114102821;101;Released;7.5;881
False;1000000;12.0;Adventure;503314;ja;ドラゴンボール超スーパー ブロリー;2.926;114102821;101;Released;7.5;881
False;1000000;35.0;Comedy;503314;ja;ドラゴンボール超スーパー ブロリー;2.926;114102821;101;Released;7.5;881
False;1000000;878.0;Science Fiction;503314;ja;ドラゴンボール超スーパー ブロリー;2.926;114102821;101;Released;7.5;881
False;30000;18.0;Drama;568065;en;First Lady;2.223;0;96;Released;9.0;1
False;0;99.0;Documentary;576500;en;The Making of Annihilation;1.227;0;73;Released;0.0;0
False;0;28.0;Action;571656;en;A Lonely Woman;1.819;0;105;Released;4.8;4
False;0;18.0;Drama;571656;en;A Lonely Woman;1.819;0;105;Released;4.8;4
False;0;80.0;Crime;571656;en;A Lonely Woman;1.819;0;105;Released;4.8;4
False;0;18.0;Drama;416673;en;A Boy Called Sailboat;1.318;0;92;Released;6.7;6
False;0;35.0;Comedy;416673;en;A Boy Called Sailboat;1.318;0;92;Released;6.7;6
False;0;35.0;Comedy;515676;en;Rottentail;2.713;0;104;Released;3.0;1
False;0;27.0;Horror;515676;en;Rottentail;2.713;0;104;Released;3.0;1
False;0;18.0;Drama;306755;en;Dirty Dealing;2.744;0;96;Released;6.0;2
False;0;27.0;Horror;511827;en;Killer Unicorn;1.752;0;;Released;7.2;3
False;200000;12.0;Adventure;579296;en;Abnormal Attraction;2.349;0;107;Released;6.8;4
False;200000;35.0;Comedy;579296;en;Abnormal Attraction;2.349;0;107;Released;6.8;4
